央视,#genre#
CCTV4K,http://ye23.win/iptv/4k.cctv.php
纯享4K,http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888888/224/3221225786/2/index.m3u8?fmt=ts2hls
纯享4K,http://39.135.55.7:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.134.39.39/PLTV/88888888/224/3221226247/index.m3u8
CCTV1,http://183.207.249.15/PLTV/3/224/3221225530/1.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230242/index.m3u8
CCTV1,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i
CCTV3,http://183.207.249.5/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://183.207.249.6/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://183.207.249.9/PLTV/3/224/3221225588/1.m3u8
CCTV3,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://183.207.249.71/PLTV/3/224/3221225588/index.m3u8
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://223.110.245.170/PLTV/3/224/3221227166/index.m3u8
CCTV5,http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5,http://39.135.32.24:6610/000000001000/1000000001000004794/index.m3u8?i
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://183.207.249.15/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://183.207.249.9/PLTV/3/224/3221225548/1.m3u8
CCTV6,http://223.110.245.172/PLTV/3/224/3221227209/index.m3u8?icpid=88888888&from=0&hms_devid=3
CCTV6,http://183.207.249.9/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://223.110.245.173/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://39.135.32.27:6610/000000001000/1000000001000001737/index.m3u8?i
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://183.207.249.71/PLTV/3/224/3221225546/index.m3u8
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/index.m3u8?fmt=ts2hls
